67564953;20;5;25;15
39633422;5;10;0;10
64191178;10;10;15;20
42639975;10;15;5;10
92572419;25;10;20;25
96697098;25;5;5;10
87979789;10;20;20;25
76099128;15;15;20;20
29411634;0;10;15;15
95044816;15;5;15;15
57211400;20;10;20;20
27520113;5;10;15;25
68162706;10;20;15;10
62422414;20;0;15;15
43891878;20;0;20;0
22193170;25;25;20;15
36910685;20;5;10;10
56746568;25;20;15;20
14172953;10;25;10;5
13666630;5;25;10;15
16665920;10;5;5;10
73807012;0;5;15;0
18773964;20;0;0;5
93300701;5;25;0;10
68066815;15;20;15;25
48900047;5;10;10;20
55184199;5;0;20;25
26699415;25;20;5;20
37479592;15;10;5;25
86874166;25;25;15;5
83161457;10;25;15;5
90803819;0;20;15;5
89392913;10;0;10;5
21607921;25;0;0;25
45043989;0;0;5;5
41800541;0;20;20;0
83878630;10;15;10;5
34654138;25;20;20;20
19563172;25;5;0;5
98187466;20;15;10;10
39255066;20;0;0;25
10704716;20;0;5;10
27722310;15;0;25;10
63719069;25;25;0;5
55584401;10;20;25;5
12226451;0;0;25;0
36371828;5;15;10;5
94791794;20;10;5;20
33282547;15;0;10;25
53239827;20;5;15;10
